Date	Trials	genotype	ttmt	perf	T_KD	T_Prob	N_Prob	T_feed	T_Predi	V_bloodmeal	Av_weight
41625	C1	SS	Control	1	NA	7.99	1	120.22	56.9	4.074358974	1.062
41625	C2	SS	Control	1	NA	57.97	1	143.01	NA	4.946153846	1.062
41626	C5	SS	Control	1	NA	2.59	1	98.44	44.06	2.933333333	0.918
41626	C7	SS	Control	1	NA	9.61	1	152.71	78.02	3.51025641	0.918
41626	C8	SS	Control	1	NA	32.17	3	265.99	221.98	4.035897436	0.918
41645	C12	SS	Control	1	NA	2.16	1	154.2	NA	4.125641026	1.017
41645	C13	SS	Control	1	NA	25.06	4	399.44	335.36	4.587179487	1.017
41666	C16	SS	Control	1	NA	15.81	1	295.91	228.11	3.6	0.854
41666	C17	SS	Control	1	NA	9.29	1	125.38	143.89	3.433333333	0.854
41673	C20	SS	Control	1	NA	46.39	5	209.18	142.09	2.817948718	0.972
41673	C22	SS	Control	1	NA	NA	NA	NA	NA	2.792307692	0.972
41695	C25	SS	Control	1	NA	36.33	1	391.33	330.48	5.112820513	0.988
41695	C26	SS	Control	1	NA	20.39	1	124.91	251.55	4.792307692	0.988
41695	C31	SS	Control	1	NA	4.78	1	127.89	81.18	4.228205128	0.988
41695	C32	SS	Control	1	NA	28.9	2	270.46	184.99	4.202564103	0.988
41696	C35	SS	Control	1	NA	11.07	1	136.94	78.98	4.664102564	0.988
41696	C36	SS	Control	1	NA	5.93	1	67.92	NA	3.074358974	0.988
41696	C37	SS	Control	1	NA	9.45	1	316.34	249.4	4.458974359	0.988
41696	C40	SS	Control	1	NA	5.5	1	380.16	309.14	5.394871795	0.988
41697	C41	SS	Control	1	NA	4.72	1	205.15	323.47	3.676923077	0.988
41697	C42	SS	Control	1	NA	11.36	1	111.16	2.99	2.587179487	0.988
41697	C43	SS	Control	1	NA	5.48	1	170.03	139.66	3.1	0.988
41697	C47	SS	Control	1	NA	42.2	5	348.36	294.32	3.676923077	0.988
41700	C50	SS	Control	1	NA	13.27	1	491.13	424.55	3.715384615	0.876
41700	C52	SS	Control	1	NA	43.55	1	107.6	NA	NA	0.876
41700	C53	SS	Control	1	NA	3.98	1	193.89	179.55	3.292307692	0.876
41700	C54	SS	Control	1	NA	8.55	1	130.94	72.71	3.01025641	0.876
41703	C55	SS	Control	1	NA	12.73	1	189.32	NA	3.561538462	0.918
41704	C59	SS	Control	1	NA	4.61	1	68.46	NA	3.433333333	0.918
41705	C63	SS	Control	1	NA	14.91	1	161.15	110.89	NA	0.918
41705	C69	SS	Control	1	NA	21.22	1	203.21	118.58	4.151282051	0.918
